RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
114,6,47988,Nick Hardy,59.31%,137,231
116,16,34076,Joel Dahmen,59.28%,115,194
117,-6,57366,Cameron Young,59.19%,132,223
118,-15,34046,Jordan Spieth,59.04%,111,188
119,3,54783,Dylan Wu,59.01%,131,222
120,10,50484,Hayden Springer,58.90%,96,163
121,-5,30692,Scott Stallings,58.87%,73,124
122,-4,39997,Corey Conners,58.80%,127,216
123,3,32070,Rafael Campos,58.74%,84,143
123,-10,34563,Chesson Hadley,58.74%,84,143
123,-36,27214,Kevin Streelman,58.74%,84,143
126,-5,31646,Emiliano Grillo,58.68%,142,242
127,-20,27330,Josh Teater,58.62%,85,145
128,-28,24980,Scott Gutschewski,58.55%,89,152
129,-5,51766,Wyndham Clark,58.54%,96,164
130,-29,40162,Justin Lower,58.33%,133,228
131,-27,29478,Kevin Kisner,58.28%,88,151
132,14,55708,Hayden Buckley,58.25%,113,194
133,-25,55182,Tom Kim,58.18%,128,220
134,6,45242,Kevin Yu,58.11%,86,148
135,-10,28420,Ryan Brehm,58.10%,122,210
135,0,48867,Matti Schmid,58.10%,122,210
137,-11,51287,Ryo Hisatsune,58.02%,123,212
138,-2,52372,Cameron Champ,57.93%,95,164
139,-7,47983,Chad Ramey,57.82%,122,211
140,27,40026,Daniel Berger,57.81%,74,128
141,-4,45157,Cam Davis,57.55%,122,212
142,-3,39975,Michael Kim,57.52%,130,226
143,13,46113,Ryan McCormick,57.50%,92,160
144,-6,54328,Norman Xiong,57.41%,93,162
145,1,52513,Carson Young,57.35%,121,211
146,-3,54421,Garrick Higgo,57.34%,125,218
147,-5,27129,Luke List,57.33%,129,225
148,2,33948,Byeong Hun An,57.27%,130,227
149,-8,57362,Austin Eckroat,56.74%,122,215
150,15,47995,Davis Riley,56.50%,113,200
151,-7,40006,Erik van Rooyen,56.34%,120,213
152,-7,33204,Shane Lowry,56.33%,89,158
153,0,27139,David Skinns,56.32%,98,174
154,-6,36699,Patrick Rodgers,56.22%,113,201
155,-6,34213,Grayson Murray,56.19%,109,194
156,-6,33399,Adam Hadwin,56.13%,119,212
157,1,46441,Robby Shelton,55.87%,119,213
158,-3,27649,Brandt Snedeker,55.68%,98,176
159,-2,60067,Joe Highsmith,55.61%,104,187
160,-1,29725,Tony Finau,55.50%,106,191
161,-8,51696,Rico Hoey,55.15%,91,165
162,-1,37275,Sam Ryder,55.00%,110,200
163,-1,36871,Matt NeSmith,54.86%,96,175
163,9,52374,Brandon Wu,54.86%,96,175
165,-5,36326,David Lipsky,54.84%,102,186
166,2,48699,Callum Tarren,54.73%,110,201
167,6,27064,Jhonattan Vegas,54.68%,76,139
168,-16,48319,Tom Whitney,54.64%,100,183
169,2,27770,Camilo Villegas,54.38%,87,160
170,-6,38991,Alejandro Tosti,54.17%,104,192
171,3,39324,J.J. Spaun,54.14%,98,181
172,-9,51070,Vincent Norrman,53.75%,86,160
173,-4,59836,Pierceson Coody,53.55%,83,155
174,1,59866,Nick Dunlap,53.49%,115,215
175,-5,46340,Alex Smalley,52.98%,89,168
176,8,50497,Adrien Dumont de Chassart,52.73%,116,220
177,6,50493,Justin Suh,52.13%,98,188
178,7,33968,Thorbjørn Olesen,52.11%,74,142
179,3,29936,Ryan Fox,51.91%,95,183
180,-5,31323,Gary Woodland,51.83%,99,191
181,-3,37378,Min Woo Lee,51.58%,98,190
182,-5,48119,Ben Taylor,51.55%,83,161
183,-4,52453,Nicolai Højgaard,51.04%,98,192
184,-4,33141,Keegan Bradley,50.84%,91,179
185,-4,35310,Lanto Griffin,50.34%,74,147
186,0,37212,Paul Barjon,49.24%,65,132
