PLAYER_ID,PLAYER_NAME,SCORING_AVG
46046,Scottie Scheffler,68.743
29420,Billy Horschel,69.855
27349,Alex Noren,69.921
48081,Xander Schauffele,69.973
51766,Wyndham Clark,70.241
52955,Ludvig Åberg,70.254
51634,Sahith Theegala,70.297
56630,Akshay Bhatia,70.299
39546,Keith Mitchell,70.326
37455,Si Woo Kim,70.397
45522,Christiaan Bezuidenhout,70.456
48153,Matthieu Pavon,70.469
36799,Stephan Jaeger,70.481
52375,Doug Ghim,70.541
35532,Tom Hoge,70.555
46442,Maverick McNealy,70.563
33448,Justin Thomas,70.578
58168,Davis Thompson,70.587
54591,Ben Griffin,70.63
40250,Taylor Pendrith,70.638
36801,Mark Hubbard,70.652
46414,Aaron Rai,70.679
47679,Victor Perez,70.685
40162,Justin Lower,70.719
51997,Andrew Novak,70.72
47483,Will Zalatoris,70.735
34587,Chan Kim,70.737
57362,Austin Eckroat,70.738
32839,Hideki Matsuyama,70.745
32367,Jorge Campillo,70.759
28237,Rory McIlroy,70.769
30926,Chris Kirk,70.772
49771,J.T. Poston,70.79
33948,Byeong Hun An,70.8
34021,Bud Cauley,70.803
27644,Brian Harman,70.816
51890,Greyson Sigg,70.817
34098,Russell Henley,70.835
24502,Adam Scott,70.858
51977,Max Greyserman,70.896
47993,Denny McCarthy,70.902
29725,Tony Finau,70.912
40098,Matt Fitzpatrick,70.921
33653,Thomas Detry,70.928
50188,S.H. Kim,70.935
48117,Kurt Kitayama,70.938
34099,Harris English,70.942
51287,Ryo Hisatsune,70.947
60004,Jacob Bridgeman,70.948
32791,K.H. Lee,70.949
35461,Beau Hossler,70.953
33204,Shane Lowry,70.963
47504,Sam Burns,70.967
57366,Cameron Young,70.967
28775,Nate Lashley,70.975
32070,Rafael Campos,70.983
40006,Erik van Rooyen,70.991
57900,Chandler Phillips,70.992
39327,Ben Silverman,70.995
22371,Aaron Baddeley,70.998
24024,Zach Johnson,70.999
51600,Jimmy Stanger,71.001
39975,Michael Kim,71.008
30163,Henrik Norlander,71.011
39997,Corey Conners,71.032
34466,Peter Malnati,71.033
50484,Hayden Springer,71.042
27064,Jhonattan Vegas,71.045
34255,Joseph Bramlett,71.057
59442,Parker Coody,71.08
34046,Jordan Spieth,71.084
47347,Adam Schenk,71.099
27936,Martin Laird,71.106
52513,Carson Young,71.109
48867,Matti Schmid,71.117
25900,Lucas Glover,71.122
54783,Dylan Wu,71.126
49947,Taylor Moore,71.131
30927,Brendon Todd,71.131
48887,Matt Wallace,71.131
36699,Patrick Rodgers,71.146
28089,Jason Day,71.148
50525,Collin Morikawa,71.15
45242,Kevin Yu,71.152
57975,Harry Hall,71.162
34256,Andrew Putnam,71.165
30692,Scott Stallings,71.167
55893,Sam Stevens,71.169
12716,Charley Hoffman,71.178
27139,David Skinns,71.184
33413,Ben Martin,71.197
35450,Patrick Cantlay,71.198
35506,Mackenzie Hughes,71.201
47420,Jake Knapp,71.206
37378,Min Woo Lee,71.212
39977,Max Homa,71.217
29908,C.T. Pan,71.227
34563,Chesson Hadley,71.23
33399,Adam Hadwin,71.254
51696,Rico Hoey,71.264
34374,Erik Barnes,71.268
35310,Lanto Griffin,71.285
59143,Mac Meissner,71.291
47591,Eric Cole,71.292
29221,Webb Simpson,71.32
59095,Chris Gotterup,71.321
55789,Taylor Montgomery,71.343
47663,Kevin Dougherty,71.352
34310,Alexander Björk,71.353
27129,Luke List,71.362
25493,Nick Taylor,71.364
31646,Emiliano Grillo,71.39
40026,Daniel Berger,71.394
37275,Sam Ryder,71.418
32757,Patton Kizzire,71.438
26476,Chez Reavie,71.455
32640,Troy Merritt,71.461
51349,Nico Echavarria,71.463
47983,Chad Ramey,71.475
52666,Sami Valimaki,71.477
29268,Bronson Burgoon,71.486
54328,Norman Xiong,71.5
54421,Garrick Higgo,71.511
47079,Harrison Endycott,71.519
52215,Robert MacIntyre,71.527
30911,Tommy Fleetwood,71.542
33408,Tyson Alexander,71.549
46441,Robby Shelton,71.557
38991,Alejandro Tosti,71.566
52372,Cameron Champ,71.575
26596,Ryan Moore,71.579
59866,Nick Dunlap,71.584
55454,Carl Yuan,71.584
33141,Keegan Bradley,71.602
51894,Vince Whaley,71.606
60067,Joe Highsmith,71.649
52374,Brandon Wu,71.65
29936,Ryan Fox,71.673
55182,Tom Kim,71.677
39971,Sungjae Im,71.705
49960,Sepp Straka,71.712
56149,Wilson Furr,71.715
34076,Joel Dahmen,71.749
45609,Tyler Duncan,71.751
46340,Alex Smalley,71.768
28252,Seamus Power,71.782
23320,Ryan Palmer,71.802
45157,Cam Davis,71.807
52514,Trace Crowe,71.816
40058,Zac Blair,71.838
32366,Kevin Chappell,71.841
33968,Thorbjørn Olesen,71.847
47988,Nick Hardy,71.853
34213,Grayson Murray,71.887
52453,Nicolai Højgaard,71.89
40115,Adam Svensson,71.893
36871,Matt NeSmith,71.945
50493,Justin Suh,71.967
23108,Matt Kuchar,71.986
36884,Ben Kohles,72.016
27214,Kevin Streelman,72.064
39324,J.J. Spaun,72.087
22405,Justin Rose,72.09
54576,Patrick Fishburn,72.116
48319,Tom Whitney,72.144
54628,Lee Hodges,72.16
33486,Roger Sloan,72.166
59836,Pierceson Coody,72.198
48699,Callum Tarren,72.241
